"longitude","latitude","SPL"
-179.69066667,3.95941667,121.091090614464
-179.51738333,33.51836667,144.847929711223
-179.495,36.86166667,132.525136452883
-179.45118333,39.97258333,136.273830064919
-179.710915,45.671935,270.925500596118
-179.39666667,46.015,136.508203513844
-179.68161833,47.74684833,151.041696744778
-179.12213333,47.28889,152.852434490038
-179.05077333,48.76716667,153.769233946487
-179.10944,49.967105,136.242151127879
-179.65173,53.45878,134.697643451483
-178.56666667,-8.76833333,120.277539753517
-178.52333333,-5.92,153.469338753521
-178.87840833,26.57354667,230.529537221867
-178.21166667,33.615,140.409127474333
-178.62239333,43.106185,134.843458658447
-178.22216667,44.49616667,146.716739863111
-178.436675,47.79477833,130.898732560612
-178.14333333,47.765,147.706611724858
-178.585,48.04,136.819491810681
-177.535,-19.93333333,0
-177.98216167,30.57566333,146.330196853755
-177.26861333,33.53134833,143.765968337456
-177.81188,39.85394667,149.239049934832
-177.66193333,40.26576667,140.204067399342
-177.374705,41.99769667,146.877018108687
-177.81655333,43.877325,135.660108396287
-177.35453,46.07018333,132.482017604443
-177.76854667,54.18938167,149.606219228094
-177.37351833,54.20441167,134.608462210389
-177.88855333,65.36901833,113.201464763617
-176.62516167,-31.34574,247.439408575188
-176.51333333,-17.28666667,134.302826239575
-176.33833333,32.57666667,137.792232011738
-176.02845333,34.54122,143.996842007826
-176.06706,46.54657,134.406919330463
-176.13666667,47.74666667,158.706464637582
-176.93169333,47.82412333,146.47381642057
-176.19292,54.14886667,133.387622586002
-175.07783833,-34.219325,142.591737028551
-175.16284333,-11.07383833,136.081114481126
-175.274095,37.51058667,131.268473105832
-175.68019667,39.438545,136.861022634493
-175.47703333,47.77511667,144.496072222389
-175.32652,47.41237833,136.032132031773
-175.42771167,47.66490667,139.819819280599
-175.60420667,48.40719167,134.225204341058
-175.42109667,53.67623667,132.721530280379
-175.59005833,54.406465,132.908700724044
-175.76466833,62.99839667,138.26379659506
-174.17503167,-18.66638167,124.113193507718
-174.89363333,-15.99818333,140.384958545022
-174.45355333,42.51343833,135.215686825321
-174.83406,43.84677833,139.550627298274
-174.35353667,47.93667333,150.130237845913
-174.26766667,48.26759,131.552727814395
-174.62200167,50.50345667,134.458193888703
-174.81267667,63.40763167,132.790708164332
-174.26555,71.90224,123.140651095101
-173.71962333,-36.44344167,146.124207427215
-173.892105,-17.686975,138.574917998372
-173.88200667,-1.79279,127.214727068515
-173.83877333,33.49754167,134.748593838166
-173.866075,35.45613833,138.216478526018
-173.85833333,37.13333333,135.162422945762
-173.91688833,40.727165,229.5316723549
-173.773715,44.74792167,144.571440111432
-173.75834,47.59135667,151.080350598761
-173.88912,49.593205,145.431295693648
-173.388835,50.430705,135.646962510462
-172.39266667,-42.22588167,134.628464124909
-172.17095833,-26.3773,134.852042316121
-172.36622667,-4.90748,0
-172.06876667,1.33276667,121.402059991328
-172.00285,19.38411833,147.404067399342
-172.93576833,37.605155,144.954664328277
-172.31333333,38.72,133.562189017526
-172.15260167,38.261315,137.031112844513
-172.448195,44.87527667,138.369233946487
-172.63833333,54.69666667,134.571570874748
-172.32,56.93833333,119.23258677516
-172.12166667,64.22,130.165173096597
-171.21205667,-14.09564333,128.19188257721
-171.05718,-6.76946,134.623616700008
-171.99742167,27.72423333,230.529537221867
-171.63666667,44.73666667,146.860763563372
-171.60349833,46.41953333,134.526070630526
-171.09302833,54.056235,136.233828949337
-171.25148333,54.21501167,146.657675210789
-171.26279833,54.40146667,135.407036197176
-171.16624333,54.309135,135.53226998825
-171.91,64.215,132.888453447634
-171.44666667,64.485,136.448270512608
-170.70772667,17.44416,122.116697773806
-170.40833333,19.04333333,133.547889574705
-170.68474333,29.83507833,133.531262895299
-170.5186,35.34600667,133.980592780114
-170.12088333,45.5499,133.421418095784
-170.41246667,51.3106,139.56580922463
-170.117885,54.41342833,137.431710603397
-170.52991667,54.24971,150.399553819685
-170.10986167,54.27824833,151.808147432864
-170.24391667,67.9569,130.624621092538
-169.57321333,-84.04814,244.639408575188
-169.09864833,20.205785,154.640805363031
-169.66885,23.07876667,138.032237250664
-169.76654667,32.30697167,142.255400133937
-169.74040667,32.55598667,135.082791827036
-169.18136833,35.98624,154.996403133425
-169.208675,37.89098667,168.098995082881
-169.365105,41.47779,142.9427858426
-169.29333333,42.97833333,142.403537231089
-169.52106833,42.126755,133.346894820136
-169.95506,44.43081333,153.276683274675
-169.12501833,47.34966833,142.679778316712
-169.94133667,47.37900167,134.704818066942
-169.89627667,51.26396,134.250830674916
-169.59907333,58.47504333,120.895202571214
-169.55833333,65.71666667,137.880720840196
-169.61345333,66.801345,124.991041005834
-168.990235,-38.288285,138.961642599378
-168.023945,-22.55535833,139.683687197686
-168.393625,-21.29018833,137.307727818774
-168.71,23.16333333,142.535570822004
-168.20819,27.42248333,136.114066834813
-168.28520833,29.39605833,167.788208113782
-168.289475,29.39072833,270.188208113782
-168.23294167,37.86995833,160.885710351711
-168.63789,42.61421,139.653833179766
-168.78561333,44.89315333,135.007762663368
-168.66514667,53.34539333,114.619079474293
-168.53912,54.429975,143.411328692834
-168.04397333,54.503995,136.352604631572
-168.22833333,64.83666667,131.959637854129
-167.16852,-41.65985667,136.460580243986
-167.44451167,30.57553,132.877091947037
-167.24275167,32.60484333,153.095012112496
-167.34426333,34.85509333,143.470039705151
-167.60774833,34.45531667,143.625526955607
-167.23961333,35.49953833,135.999867530534
-167.26311167,42.46896833,146.854576642475
-167.83563667,45.95206667,115.78970004336
-167.335,54.44333333,136.742962168396
-167.74834333,54.699955,130.850029077437
-167.55252333,58.217885,124.927777099013
-167.10853833,58.042795,122.939437314586
-166.05829167,4.97991833,126.929734405632
-166.814515,34.30626833,132.487796839537
-166.499975,37.97762333,141.750581480617
-166.15666667,40.17166667,138.842013389975
-166.92666667,46.97166667,132.722363234325
-166.75556167,46.65074167,145.61245755473
-166.757,51.4665,135.82366681746
-166.02110667,53.90952333,116.85878414901
-166.38761667,53.31115667,119.974354162148
-166.28333333,54.12333333,123.491977877871
-166.11780167,54.20918,118.756946093747
-166.82833333,54.4,135.118992492219
-165.80333333,-20.19166667,136.229331835431
-165.11539667,-4.60373167,250.414759868381
-165.43297,0.33469833,124.350371776129
-165.64736667,29.84031667,136.907200143485
-165.791285,35.224095,151.556678625669
-165.77001667,43.74880167,136.276618169506
-165.58342333,44.19959167,136.037510256419
-165.21333333,46.78166667,149.839062633409
-165.80333333,47.55,144.834226747272
-165.64859333,48.719545,135.96876339645
-165.92833333,54.23666667,120.984081215699
-165.85666667,54.245,130.168416110997
-165.32784833,54.34001167,138.171221819559
-164.61237833,19.01407667,137.938299449726
-164.03575,21.2042,141.270039705151
-164.79462167,31.03030667,142.333565663021
-164.55420667,38.17894167,144.081362813612
-164.6449,40.85593333,137.951502288351
-164.75955667,44.08063667,143.211248263661
-164.78754,46.87967,151.68528328587
-164.86166667,47.52166667,150.316942555097
-164.055,51.68666667,139.529731163677
-164.11150167,54.24831167,136.147104742273
-164.28321667,66.80188333,125.900113033963
-163.15958,-9.67952833,121.476219679135
-163.15220167,18.49351667,143.1427858426
-163.178255,43.16047167,134.146894820136
-163.87666667,45,133.97214017815
-163.63508333,46.41701667,151.349494479979
-163.16746833,46.24503667,136.86903906365
-163.90786667,49.48658333,132.208041818719
-163.81466667,52.01695667,136.219491810681
-163.38148333,54.19413333,143.048270512608
-163.58636667,54.20823333,152.878234710241
-163.36616,54.81103667,124.928883644273
-163.17783667,54.16338167,135.339207246951
-162.71044667,-15.35937833,138.73202109525
-162.69068333,-5.42627,150.561625894298
-162.07071167,30.12255167,136.740798200149
-162.276995,36.02481833,0
-162.016285,39.829455,0
-162.780105,41.80772833,130.336381336884
-162.496295,45.031145,137.158499000993
-162.58026833,52.2656,134.585230366329
-162.30097833,60.780015,152.622192947339
-161.140515,31.69216667,136.348593838166
-161.222975,44.86759167,136.975188517035
-161.382595,45.52972167,143.637979628998
-161.38680333,46.24507667,136.411386440235
-161.21833333,47.21333333,148.783989102272
-160.02866667,-21.01443333,129.031588353973
-160.04187667,-6.13461667,148.669083853536
-160.41073833,3.85482333,127.479169641517
-160.05115667,7.89854667,0
-160.03727167,8.59996167,137.233041490637
-160.093745,40.603815,135.825317197701
-160.06093167,45.85573167,150.024171421585
-160.85626833,51.87306,136.924436203643
-160.36,53.92,134.502409896471
-160.40757333,54.10186333,140.890266904797
-159.52073,-7.761115,122.877539753517
-159.654215,21.908785,127.01029995664
-159.05066667,42.46343167,136.090269711507
-159.81928333,44.77223333,133.725448057986
-159.27806167,45.98548667,132.071995653975
-159.23407833,47.12849167,146.850694677003
-159.04563333,48.86566667,143.917841414932
-159.455645,53.88700167,137.770015715134
-159.69833333,54.04343333,152.52904185608
-159.58650167,54.29722333,140.808188348596
-158.62588833,-5.77639833,135.066253256785
-158.23,10.855,137.923178456315
-158.50768667,20.71319833,135.908255338143
-158.38037167,21.216445,127.92690498301
-158.58,29.70333333,136.2694647582
-158.51166167,30.840925,258.477608141299
-158.29666667,45.20666667,153.028655899987
-158.51537167,45.482855,142.966644313958
-158.71646833,46.07665833,150.545483368645
-158.19817167,46.258705,152.137546244664
-158.21166667,54.14333333,136.06603512866
-158.74908,71.42118,135.884250645815
-157.12691667,32.637,129.783074209241
-157.376115,42.77759833,150.322764571756
-157.706445,45.44068,150.08057277124
-157.70231,46.02567167,144.97141455497
-157.24458667,49.20231833,149.246263529664
-157.86666667,51.46333333,135.693268852452
-157.54708833,53.80052333,132.965248278378
-156.075895,24.930415,113.447869907677
-156.69928833,30.60680333,0
-156.85811833,39.81457667,134.686519332148
-156.30854333,40.26731167,132.134591925152
-156.80128667,42.59666833,149.315742061962
-156.30157167,42.03326,142.416173921067
-156.2,44.305,135.562508537887
-156.98333333,45.46666667,152.316942555097
-156.73666667,45.78666667,144.342768497856
-155.32489167,-4.39074167,133.100840012277
-155.025,22.46333333,145.771782776558
-155.22888833,30.126795,0
-155.8962,42.73358333,151.789767169514
-155.66313333,44.71035,131.575941265391
-155.59973333,45.26896667,148.155639684338
-155.87001167,45.07925833,140.539538561959
-154.21216167,3.153245,128.299807372221
-154.23394667,13.59470167,140.65423516307
-154.85320833,25.64647,132.524043972109
-154.60136833,25.46031,237.329537221867
-154.811395,26.35309333,237.329537221867
-154.98888833,29.94360333,0
-154.55889167,43.934815,154.620926404547
-154.102945,44.96590667,138.460416964609
